Commons_link,Kannada_Wikisource_link
https://commons.wikimedia.org/wiki/File:ಜೀರ್ಣವಿಜಯನಗರಾದರ್ಶನಂ .djvu,https://kn.wikisource.org/wiki/Index:ಜೀರ್ಣವಿಜಯನಗರಾದರ್ಶನಂ .djvu
https://commons.wikimedia.org/wiki/File:ಜೀವಂಧರ ಚರಿತೆ.djvu,https://kn.wikisource.org/wiki/Index:ಜೀವಂಧರ ಚರಿತೆ.djvu
https://commons.wikimedia.org/wiki/File:ತಿಲೋತ್ತಮೆ.djvu,https://kn.wikisource.org/wiki/Index:ತಿಲೋತ್ತಮೆ.djvu
https://commons.wikimedia.org/wiki/File:ತೆಲಿಮಾಕಸ್ಸನ ಸಾಹಸ ಚರಿತ್ರೆ ಎರಡನೇ ಭಾಗ.djvu,https://kn.wikisource.org/wiki/Index:ತೆಲಿಮಾಕಸ್ಸನ ಸಾಹಸ ಚರಿತ್ರೆ ಎರಡನೇ ಭಾಗ.djvu
https://commons.wikimedia.org/wiki/File:ತೆಲಿಮಾಕಸ್ಸನ ಸಾಹಸ ಚರಿತ್ರೆ ಭಾಗ ೧.djvu,https://kn.wikisource.org/wiki/Index:ತೆಲಿಮಾಕಸ್ಸನ ಸಾಹಸ ಚರಿತ್ರೆ ಭಾಗ ೧.djvu
https://commons.wikimedia.org/wiki/File:ದಕ್ಷಕನ್ಯಾ .djvu,https://kn.wikisource.org/wiki/Index:ದಕ್ಷಕನ್ಯಾ .djvu
https://commons.wikimedia.org/wiki/File:ದಾಮಿನಿ.djvu,https://kn.wikisource.org/wiki/Index:ದಾಮಿನಿ.djvu
https://commons.wikimedia.org/wiki/File:ದಿಗ್ವಿಜಯ ಪ್ರಕರಣ.djvu,https://kn.wikisource.org/wiki/Index:ದಿಗ್ವಿಜಯ ಪ್ರಕರಣ.djvu
https://commons.wikimedia.org/wiki/File:ದಿವ್ಯಸುಂದರಿ ದ್ವಿತೀಯ ಕುಸುಮ.djvu,https://kn.wikisource.org/wiki/Index:ದಿವ್ಯಸುಂದರಿ ದ್ವಿತೀಯ ಕುಸುಮ.djvu
https://commons.wikimedia.org/wiki/File:ದೀಪದ ಕೆಳಗೆ.djvu,https://kn.wikisource.org/wiki/Index:ದೀಪದ ಕೆಳಗೆ.djvu
https://commons.wikimedia.org/wiki/File:ಧರ್ಮಸಾಮ್ರಾಜ್ಯಂ.djvu,https://kn.wikisource.org/wiki/Index:ಧರ್ಮಸಾಮ್ರಾಜ್ಯಂ.djvu
https://commons.wikimedia.org/wiki/File:ಧ್ರುವಚರಿತ್ರೆ.djvu,https://kn.wikisource.org/wiki/Index:ಧ್ರುವಚರಿತ್ರೆ.djvu
https://commons.wikimedia.org/wiki/File:ಧ್ರುವವಿಜಯನಾಟಕಂ.djvu,https://kn.wikisource.org/wiki/Index:ಧ್ರುವವಿಜಯನಾಟಕಂ.djvu
https://commons.wikimedia.org/wiki/File:ನಂಜಕವಿಯ ಕಪೋತ ವಾಕ್ಯಂ.djvu,https://kn.wikisource.org/wiki/Index:ನಂಜಕವಿಯ ಕಪೋತ ವಾಕ್ಯಂ.djvu
https://commons.wikimedia.org/wiki/File:ನಂದಿ ಛಂದಸ್ಸು.djvu,https://kn.wikisource.org/wiki/Index:ನಂದಿ ಛಂದಸ್ಸು.djvu
https://commons.wikimedia.org/wiki/File:ನಂದಿ ಮಹಾತ್ಯ್ಮಂ ಪ್ರಥಮ ಸಂಪುಟ.djvu,https://kn.wikisource.org/wiki/Index:ನಂದಿ ಮಹಾತ್ಯ್ಮಂ ಪ್ರಥಮ ಸಂಪುಟ.djvu
https://commons.wikimedia.org/wiki/File:ನನ್ನ ಸಂಸಾರ.djvu,https://kn.wikisource.org/wiki/Index:ನನ್ನ ಸಂಸಾರ.djvu
https://commons.wikimedia.org/wiki/File:ನಭಾ.djvu,https://kn.wikisource.org/wiki/Index:ನಭಾ.djvu
https://commons.wikimedia.org/wiki/File:ನಳ ಚರಿತೆ.djvu,https://kn.wikisource.org/wiki/Index:ನಳ ಚರಿತೆ.djvu
https://commons.wikimedia.org/wiki/File:ನಿರ್ಮಲೆ.djvu,https://kn.wikisource.org/wiki/Index:ನಿರ್ಮಲೆ.djvu
https://commons.wikimedia.org/wiki/File:ನಿರ್ಯಾಣಮಹೋತ್ಸವ ಅಥವಾ ಲೋಕಜಾಗ್ರತೆ.djvu,https://kn.wikisource.org/wiki/Index:ನಿರ್ಯಾಣಮಹೋತ್ಸವ ಅಥವಾ ಲೋಕಜಾಗ್ರತೆ.djvu
https://commons.wikimedia.org/wiki/File:ನಿರ್ಯಾಣಮಹೋತ್ಸವ.djvu,https://kn.wikisource.org/wiki/Index:ನಿರ್ಯಾಣಮಹೋತ್ಸವ.djvu
https://commons.wikimedia.org/wiki/File:ನೀತಿ ಮಂಜರಿ ಭಾಗ ೧.djvu,https://kn.wikisource.org/wiki/Index:ನೀತಿ ಮಂಜರಿ ಭಾಗ ೧.djvu
https://commons.wikimedia.org/wiki/File:ನೀರೆದೆ.djvu,https://kn.wikisource.org/wiki/Index:ನೀರೆದೆ.djvu
https://commons.wikimedia.org/wiki/File:ನೇಮಿಚಂದ್ರ ನೆಮಿಪುರಾಣಂ.djvu,https://kn.wikisource.org/wiki/Index:ನೇಮಿಚಂದ್ರ ನೆಮಿಪುರಾಣಂ.djvu
https://commons.wikimedia.org/wiki/File:ಪಂಚತಂತ್ರ ಅಥವಾ ಪಂಚೋಪಾಖ್ಯಾನ.djvu,https://kn.wikisource.org/wiki/Index:ಪಂಚತಂತ್ರ ಅಥವಾ ಪಂಚೋಪಾಖ್ಯಾನ.djvu
https://commons.wikimedia.org/wiki/File:ಪಂಡಿತರಾಜ.djvu,https://kn.wikisource.org/wiki/Index:ಪಂಡಿತರಾಜ.djvu
https://commons.wikimedia.org/wiki/File:ಪಂಪರಾಮಾಯಣ ಕಥೆ.djvu,https://kn.wikisource.org/wiki/Index:ಪಂಪರಾಮಾಯಣ ಕಥೆ.djvu
https://commons.wikimedia.org/wiki/File:ಪಂಪಾ ಶತಕಂ.djvu,https://kn.wikisource.org/wiki/Index:ಪಂಪಾ ಶತಕಂ.djvu
https://commons.wikimedia.org/wiki/File:ಪದ್ಮರಾಜಪುರಾನ.djvu,https://kn.wikisource.org/wiki/Index:ಪದ್ಮರಾಜಪುರಾನ.djvu
https://commons.wikimedia.org/wiki/File:ಪದ್ಮಿನಿ .djvu,https://kn.wikisource.org/wiki/Index:ಪದ್ಮಿನಿ .djvu
https://commons.wikimedia.org/wiki/File:ಪದ್ಯಸಾರ - ದ್ವಿತೀಯ ಭಾಗ.djvu,https://kn.wikisource.org/wiki/Index:ಪದ್ಯಸಾರ - ದ್ವಿತೀಯ ಭಾಗ.djvu
