Contributor/Author,Date Accessioned,Date Available,Date Issued,Link,Publisher,Rights,Subjects,Title,Filename,FileSize,Category,Language
Paan'd'uran'garaayaru Deisaayi,2010-08-10T09:57:00Z,2010-08-10T09:57:00Z,1943//,http://oudl_osmania_ac_in/handle/OUDL/4212,Vasan'ta Gran'thamaalaa,IN_COPYRIGHT,GENERALITIES;Bibliography and bibliographies Catalogues,Kun'taleishvara,200208_OU_Kun'taleishvara.pdf,7.963Mb,Publications,Kannada
Gal'aganaatha Vein'kat'eisha Kulakarand-i,2010-08-10T08:44:47Z,2010-08-10T08:44:47Z,1915//,http://oudl_osmania_ac_in/handle/OUDL/3247,Yello Gad'd'u Kulakarand-i,OUT_OF_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Niryaand-a Mahootsava Lookajaagrate,198366_OU_Niryaand-a_Mahootsava_Lookajaagrate.pdf,11.73Mb,Publications,Kannada
Daasar Padmanaabha,2010-08-10T10:33:20Z,2010-08-10T10:33:20Z,1950//,http://oudl_osmania_ac_in/handle/OUDL/4635,En' Muurtiraav,IN_COPYRIGHT,RELIGION;THEOLOGY,Shrei Harikathaamrxtasaara Egad'aneya Bhaaga,200719_OU_Shrei ... aara_Egad'aneya_Bhaaga.pdf,47.69Mb,Publications,Kannada
Ven'kat'asubbayya E,2010-08-10T08:44:47Z,2010-08-10T08:44:47Z,1930//,http://oudl_osmania_ac_in/handle/OUDL/3248,Karnd-aat'aka San'gha,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Kelavu Kannad'a Kavigal'a Jiivanakaala Vichaara,198288_OU_Kelavu_Kannad'a_Kavigal'a.pdf,3.517Mb,Publications,Kannada
Shreinivaasa,2010-08-10T08:44:47Z,2010-08-10T08:44:47Z,1950//,http://oudl_osmania_ac_in/handle/OUDL/3249,Shreinivaasa,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Gun'd'a Hen'd'ati,198376_OU_Gun'd'a_Hen'd'ati.pdf,17.44Mb,Publications,Kannada
Gadagakara En Es,2010-08-10T08:44:48Z,2010-08-10T08:44:48Z,1948//,http://oudl_osmania_ac_in/handle/OUDL/3250,Masohara Gran'tha Bhaan'd'aara,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Saptaran'ga,198275_OU_Saptaran'ga.pdf,2.798Mb,Publications,Kannada
Shreinivaasamuurti E Vi,2010-08-10T08:44:48Z,2010-08-10T08:44:48Z,1944//,http://oudl_osmania_ac_in/handle/OUDL/3251,Gaan'dhii Saahitya Bhan'd'aara,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Shrei Jamanaalajii,198276_OU_Shrei_Jamanaalajii.pdf,12.49Mb,Publications,Kannada
Karpuura Raamachan'dra Tryan'baka,2010-08-10T08:44:48Z,2010-08-10T08:44:48Z,1926//,http://oudl_osmania_ac_in/handle/OUDL/3252,Tryan'baka  Raamachan'dra Karpuura,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Shreibrahmachaitanya Mahaaraajara Charitra,198318_OU_Shrei ... _Mahaaraajara_Charitra.pdf,10.15Mb,Publications,Kannada
Krxshhnd-a Muurti Ke,2010-08-10T08:44:49Z,2010-08-10T08:44:49Z,1954//,http://oudl_osmania_ac_in/handle/OUDL/3253,Karnd-aat'aka Vishvavidyaalaya,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Bhavabhuuti,198359_OU_Bhavabhuuti.pdf,3.913Mb,Publications,Kannada
Raav Pi Guru,2010-08-10T08:44:49Z,2010-08-10T08:44:49Z,1926//,http://oudl_osmania_ac_in/handle/OUDL/3254,Pi Guru Raav,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Daasarapadasan'grahavu,198305_OU_Daasarapadasan'grahavu.pdf,8.030Mb,Publications,Kannada
