Contributor/Author,Date Accessioned,Date Available,Date Issued,Link,Publisher,Rights,Subjects,Title,Filename,FileSize,Category,Language
Paan'd'uran'garaayaru Deisaayi,2010-08-10T08:34:20Z,2010-08-10T08:34:20Z,1952//,http://oudl_osmania_ac_in/handle/OUDL/3088,Ud'upi Bhii Biid'i,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Naagaramari,198158_OU_Naagaramari.pdf,4.798Mb,Publications,Kannada
Karpuura Raamachan'dra Tryan'baka,2010-08-10T09:46:04Z,2010-08-10T09:46:04Z,1920//,http://oudl_osmania_ac_in/handle/OUDL/4028,Vaay Ji Kulakarnd-i,OUT_OF_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Maraat'ara Avanati Daivaliile,200058_OU_Maraat'ara_Avanati_Daivaliile.pdf,12.64Mb,Publications,Kannada
Bhaalachan'dra,2010-08-10T08:34:21Z,2010-08-10T08:34:21Z,1937//,http://oudl_osmania_ac_in/handle/OUDL/3089,Bhaalachan'dra,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Sid'ilu,198194_OU_Sid'ilu.pdf,7.845Mb,Publications,Kannada
Joshii Gurunaatha,2010-08-10T08:34:24Z,2010-08-10T08:34:24Z,1942//,http://oudl_osmania_ac_in/handle/OUDL/3098,Bhaaratiiya Saahitya Prakat'anaalaya,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Urduu Kathaavali,198084_OU_Urduu_Kathaavali.pdf,2.838Mb,Publications,Kannada
Duuresvaami Ke En,2010-08-10T08:34:21Z,2010-08-10T08:34:21Z,1944//,http://oudl_osmania_ac_in/handle/OUDL/3090,Karnaat'aka Gran'tha Prakaashana Samiti,IN_COPYRIGHT,GENERALITIES;Polygraphies;Collective works,Vihaara,198137_OU_Vihaara.pdf,6.271Mb,Publications,Kannada
Sharmaru Naaraayand-a,2010-08-10T08:34:22Z,2010-08-10T08:34:22Z,1940//,http://oudl_osmania_ac_in/handle/OUDL/3091,Kamalaapura,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Kannad'a Naad'ina Kathagal'u,198097_OU_Kannad'a_Naad'ina_Kathagal'u.pdf,16.72Mb,Publications,Kannada
Iishvaran Hireimalluura,2010-08-10T08:34:27Z,2010-08-10T08:34:27Z,1946//,http://oudl_osmania_ac_in/handle/OUDL/3103,Es E Saavan'ta,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Vishhanimishhagal'u,198220_OU_Vishhanimishhagal'u.pdf,8.543Mb,Publications,Kannada
Naagaraaja Taa Raa,2010-08-10T08:34:22Z,2010-08-10T08:34:22Z,1950//,http://oudl_osmania_ac_in/handle/OUDL/3092,Sudarshana Prakat'anaalaya,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Guumukhavyaaphra,198151_OU_Guumukhavyaaphra.pdf,4.725Mb,Publications,Kannada
Vaand-i,2010-08-10T08:55:40Z,2010-08-10T08:55:40Z,1944//,http://oudl_osmania_ac_in/handle/OUDL/3469,Lalita Saahitya Maale,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Kastuuri,198436_OU_Kastuuri.pdf,7.356Mb,Publications,Kannada
Raajaratnan' Ji Pi,2010-08-10T08:34:23Z,2010-08-10T08:34:23Z,1941//,http://oudl_osmania_ac_in/handle/OUDL/3093,Shaakya Saahitya Man't'apa,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Jaataka Kategal'u,198101_OU_Jaataka_Kategal'u.pdf,28.39Mb,Publications,Kannada
Gal'aganaatha Vai Ti,2010-08-10T09:46:05Z,2010-08-10T09:46:05Z,1955//,http://oudl_osmania_ac_in/handle/OUDL/4029,Gal'aganaatha Surasa Gran'thamaale,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Satvasaara 4 Neyadu,198993_OU_Satvasaara_4_Neyadu.pdf,19.95Mb,Publications,Kannada
Man'geitaraav Pan'ji,2010-08-10T08:34:25Z,2010-08-10T08:34:25Z,1937//,http://oudl_osmania_ac_in/handle/OUDL/3099,Pan'ji Man'geitaraav,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Aitihaasika Kathaaval'i Erd'aneya Bhaaga,198176_OU_Aitih ... val'i_Erd'aneya_Bhaaga.pdf,5.754Mb,Publications,Kannada
Bhat't'a Ji Vaamana,2010-08-10T08:34:23Z,2010-08-10T08:34:23Z,1950//,http://oudl_osmania_ac_in/handle/OUDL/3094,Shreiimaan Vinaayaka Krxshhnd-a Guushaaka,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Kuudan'd'ana Upanyaasagal'u Dvitiiyabhaaga,198174_OU_Kuuda ... sagal'u_Dvitiiyabhaaga.pdf,8.635Mb,Publications,Kannada
Raajaratnan' Ji Pi,2010-08-10T08:55:41Z,2010-08-10T08:55:41Z,1951//,http://oudl_osmania_ac_in/handle/OUDL/3470,Bi Bi D'i Pavaraa Pres,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Allama Prabhu Avara Kathe,198575_OU_Allama_Prabhu_Avara_Kathe.pdf,6.706Mb,Publications,Kannada
Put't'and-nd-a Yan' Yas,2010-08-10T08:34:25Z,2010-08-10T08:34:25Z,1924//,http://oudl_osmania_ac_in/handle/OUDL/3100,Yan' Yas Put't'and-nd-a,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Chitradurgada Paal'ayagaararu,198096_OU_Chitradurgada_Paal'ayagaararu.pdf,10.72Mb,Publications,Kannada
Raamaraav Yan',2010-08-10T08:55:42Z,2010-08-10T08:55:42Z,1932//,http://oudl_osmania_ac_in/handle/OUDL/3471,Suboodha Prakat'anaalaya,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Kusumaan'jali Suboodha Gran'tha Maale 19,198418_OU_Kusum ... odha_Gran'tha_Maale_19.pdf,16.71Mb,Publications,Kannada
Mul'agun'da Ji Ech Huusuura,2010-08-10T08:34:26Z,2010-08-10T08:34:26Z,1940//,http://oudl_osmania_ac_in/handle/OUDL/3101,En Ech Huusuura,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;Biographical and related studies;Biography,Murapharaajein'dra Vijaya Viirashyava Mataabdhi Chan'druudaya,198066_OU_Murap ... dra_Vijaya_Viirashyava.pdf,18.38Mb,Publications,Kannada
Hulagi Naaraayand-a,2010-08-10T09:46:05Z,2010-08-10T09:46:05Z,1955//,http://oudl_osmania_ac_in/handle/OUDL/4030,Pratibhaa Mudrand-a,IN_COPYRIGHT,GENERALITIES;Manuscripts;Rare and remarkable works,Jiivanadaana,198989_OU_Jiivanadaana.pdf,8.687Mb,Publications,Kannada
Laqs-mand-araayaru Bein'dre,2010-08-10T08:34:26Z,2010-08-10T08:34:26Z,1945//,http://oudl_osmania_ac_in/handle/OUDL/3102,Bhaalachan'dra Phaand-erkara,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Chakamaki Kathaa San'kalana Karand-a 2,198110_OU_Chaka ... _San'kalana_Karand-a_2.pdf,8.651Mb,Publications,Kannada
Deishapaan'd'e Hanuman'taraava Goovin'daraava,2010-08-10T08:55:42Z,2010-08-10T08:55:42Z,1937//,http://oudl_osmania_ac_in/handle/OUDL/3472,Hanuman'taraava Goovin'daraava Deishapaan'd'e,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,San'saarasukha L'aneya Avrxtti,198426_OU_San'saarasukha_L'aneya_Avrxtti.pdf,13.36Mb,Publications,Kannada
Sharashchan'dra,2010-08-10T08:34:57Z,2010-08-10T08:34:57Z,1944//,http://oudl_osmania_ac_in/handle/OUDL/3174,Lalita Saahitye Maale,IN_COPYRIGHT,GENERALITIES;Prolegomena;Fundamentals of knowledge and culture Computer science,Sumati Mattu Anuraadhaa,198132_OU_Sumati_Mattu_Anuraadhaa.pdf,7.513Mb,Publications,Kannada
Narasin'hamuurti Ke,2010-08-10T08:34:28Z,2010-08-10T08:34:28Z,1955//,http://oudl_osmania_ac_in/handle/OUDL/3106,Saahitya Parishhattu,IN_COPYRIGHT,LANGUAGE;LINGUISTICS;LITERATURE;Literature;Literature,Attyuttama Sand-nd-a Kategal'u 1946 1955,198227_OU_Attyu ... -a_Kategal'u_1946_1955.pdf,48.35Mb,Publications,Kannada
Narasin'haachaara Es,2010-08-10T10:17:24Z,2010-08-10T10:17:24Z,1893/02/16,http://oudl_osmania_ac_in/handle/OUDL/4475,Karnd-aat'aka Kaavyaman'jari,OUT_OF_COPYRIGHT,GENERALITIES;Bibliography and bibliographies Catalogues,Apratima Viira Charitan' 8,200530_OU_Apratima_Viira_Charitan'_8.pdf,9.087Mb,Publications,Kannada
Ech En' Raav Shan'karanaaraayand-a,2010-08-10T08:34:28Z,2010-08-10T08:34:28Z,1953//,http://oudl_osmania_ac_in/handle/OUDL/3107,Sharadaa Man'dira,IN_COPYRIGHT,GENERALITIES;Bibliography and bibliographies Catalogues,Chan'd'ashaasana Kathaasan'grahada Vivarand-i,198162_OU_Chan' ... san'grahada_Vivarand-i.pdf,7.536Mb,Publications,Kannada
Iishvaran Hiriimalluura,2010-08-10T08:34:45Z,2010-08-10T08:34:45Z,1949//,http://oudl_osmania_ac_in/handle/OUDL/3147,En Eph Kat't'iimani,IN_COPYRIGHT,GENERALITIES;Bibliography and bibliographies Catalogues,Raajaa Raand-i Deikhei,198136_OU_Raajaa_Raand-i_Deikhei.pdf,7.421Mb,Publications,Kannada
Suvikaasa Saahitya Samiti,2010-08-10T08:34:29Z,2010-08-10T08:34:29Z,1950//,http://oudl_osmania_ac_in/handle/OUDL/3108,Suvikaasa Saahitya Samiti,IN_COPYRIGHT,GENERALITIES;Manuscripts;Rare and remarkable works,Sarasa Virasa 1,198154_OU_Sarasa_Virasa_1.pdf,5.073Mb,Publications,Kannada
Karnd-aat'aka Saahitya Parishhattu,2010-08-10T08:55:42Z,2010-08-10T08:55:42Z,1930//,http://oudl_osmania_ac_in/handle/OUDL/3473,Karnd-aat'aka Saahitya Parishhattu,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;Biographical and related studies;Biography,Jeimsa Vibraam Gaaraphiild'ana Charitre,198540_OU_Jeims ... araphiild'ana_Charitre.pdf,9.790Mb,Publications,Kannada
Siitaaraamayya En' Vi,2010-08-10T08:34:29Z,2010-08-10T08:34:29Z,1940//,http://oudl_osmania_ac_in/handle/OUDL/3109,Masuurhara Gran'tha Prakaashana Samiti,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Maargadarshaka,198157_OU_Maargadarshaka.pdf,10.49Mb,Publications,Kannada
Biichi,2010-08-10T08:55:47Z,2010-08-10T08:55:47Z,1951//,http://oudl_osmania_ac_in/handle/OUDL/3482,Tin'ma Saahitya Maale,IN_COPYRIGHT,GENERALITIES;Bibliography and bibliographies Catalogues,Hachchu Hurul'u,198501_OU_Hachchu_Hurul'u.pdf,6.140Mb,Publications,Kannada
Raav En Pralhlaada,2010-08-10T08:34:29Z,2010-08-10T08:34:29Z,1942//,http://oudl_osmania_ac_in/handle/OUDL/3110,Parimal'a Saahitya Man'dira,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Ratha Rathika Lagu Praban'dhagal'u 1,198164_OU_Ratha_Rathika_Lagu_Praban'dhagal'u_1.pdf,6.111Mb,Publications,Kannada
Chiicti,2010-08-10T08:34:30Z,2010-08-10T08:34:30Z,1951//,http://oudl_osmania_ac_in/handle/OUDL/3111,Es Em Kulakarnd-i,IN_COPYRIGHT,GENERALITIES;Polygraphies;Collective works,Hannuun'dane Avataara,198229_OU_Hannuun'dane_Avataara.pdf,9.714Mb,Publications,Kannada
Matarovaalaa Kishooralaala,2010-08-10T08:55:43Z,2010-08-10T08:55:43Z,1946//,http://oudl_osmania_ac_in/handle/OUDL/3474,Karnaat'aka Shiqs-and-a Samiti,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Gaan'dhiivichaaradoohana,198500_OU_Gaan'dhiivichaaradoohana.pdf,15.71Mb,Publications,Kannada
And-nd-apuurnd-araav A En,2010-08-10T08:34:45Z,2010-08-10T08:34:45Z,1949//,http://oudl_osmania_ac_in/handle/OUDL/3148,Anan'd Bradarsa,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Shilli,198207_OU_Shilli.pdf,5.494Mb,Publications,Kannada
Naaraayand-aa Araa Ke,2010-08-10T08:34:30Z,2010-08-10T08:34:30Z,1945//,http://oudl_osmania_ac_in/handle/OUDL/3112,In'd'iya Thaat'o Prakat'anegal'u,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Svaami Mattu Lavana Snehitaru,198187_OU_Svaami_Mattu_Lavana_Snehitaru.pdf,15.77Mb,Publications,Kannada
Raamasvaamaiyyan'gaara Ke,2010-08-10T09:46:06Z,2010-08-10T09:46:06Z,1926//,http://oudl_osmania_ac_in/handle/OUDL/4031,Ke Yan' Daasaprabhu An'd' San's,IN_COPYRIGHT,GENERALITIES;Bibliography and bibliographies Catalogues,Kannad'a Baala Bhaarata,200065_OU_Kannad'a_Baala_Bhaarata.pdf,9.403Mb,Publications,Kannada
Naaraayand-e Aaraa Ke,2010-08-10T08:34:30Z,2010-08-10T08:34:30Z,1946//,http://oudl_osmania_ac_in/handle/OUDL/3113,In'd'irya Thaat' Prakat'anegal'u,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Itara Kathagal'u,198118_OU_Itara_Kathagal'u.pdf,4.368Mb,Publications,Kannada
Raav Aaraa E,2010-08-10T08:34:31Z,2010-08-10T08:34:31Z,1950//,http://oudl_osmania_ac_in/handle/OUDL/3114,Svaavalan'bana Prakaashana,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Yuddharan'gadin'da,198140_OU_Yuddharan'gadin'da.pdf,6.619Mb,Publications,Kannada
Jooshi Ji Bi,2010-08-10T08:55:43Z,2010-08-10T08:55:43Z,1939//,http://oudl_osmania_ac_in/handle/OUDL/3475,Ji Bi Jooshi,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Sul'avu Hol'avu,198421_OU_Sul'avu_Hol'avu.pdf,13.28Mb,Publications,Kannada
Preimachan'da Di,2010-08-10T08:34:31Z,2010-08-10T08:34:31Z,1942//,http://oudl_osmania_ac_in/handle/OUDL/3115,Pratibhaa Gran'thamaale,,GENERALITIES;General reference works Encyclopaedias,Grxhadaaha Itara Kathagal'u,198122_OU_Grxhadaaha_Itara_Kathagal'u.pdf,11.37Mb,Publications,Kannada
Ven'kat'anaaraayand-appa Bel'l'ave,2010-08-10T10:33:39Z,2010-08-10T10:33:39Z,1939/02/17,http://oudl_osmania_ac_in/handle/OUDL/4656,Maisuuru Vishva Vidyaalaya,IN_COPYRIGHT,NATURAL SCIENCES;Biological sciences in general,Jiiva Vijaang-ana 11,200691_OU_Jiiva_Vijaang-ana_11.pdf,26.13Mb,Publications,Kannada
Satyagirinaathan Pi Ji,2010-08-10T08:34:45Z,2010-08-10T08:34:45Z,1940//,http://oudl_osmania_ac_in/handle/OUDL/3149,Pan'chaachaarya Elekt'rik Pres,IN_COPYRIGHT,GENERALITIES;Polygraphies;Collective works,In'glen'd'ina Raajakiiya Bil'avand-ige 19,198233_OU_In'gl ... kiiya_Bil'avand-ige_19.pdf,4.086Mb,Publications,Kannada
Anan'd Mulka Raaj,2010-08-10T08:34:32Z,2010-08-10T08:34:32Z,1950//,http://oudl_osmania_ac_in/handle/OUDL/3116,Kutub Pablisharsa Limit'id',IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Hin'dusthaanada Kathe,198146_OU_Hin'dusthaanada_Kathe.pdf,6.366Mb,Publications,Kannada
Karagudari Raa Ve,2010-08-10T08:55:49Z,2010-08-10T08:55:49Z,1934//,http://oudl_osmania_ac_in/handle/OUDL/3488,Saahitya Bhaan'd'aara,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;Biographical and related studies;Biography,Seinaapati D'aa Harad'iikararu,198526_OU_Seinaapati_D'aa_Harad'iikararu.pdf,16.16Mb,Publications,Kannada
Raadhaaramand-a,2010-08-10T08:34:32Z,2010-08-10T08:34:32Z,1949//,http://oudl_osmania_ac_in/handle/OUDL/3117,Bi Pi Kaal'i,IN_COPYRIGHT,GENERALITIES;Organizations and other types of cooperation;Including: Associations;Congresses;Exhibitions_Museums,Gagana Pishaachi Raajakiiya Guptarahasya,198141_OU_Gagan ... aajakiiya_Guptarahasya.pdf,17.67Mb,Publications,Kannada
Svaatan'tryapriya,2010-08-10T08:55:44Z,2010-08-10T08:55:44Z,1955//,http://oudl_osmania_ac_in/handle/OUDL/3476,Burli Bin'dumaadhava,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;Biographical and related studies;Biography,Baal'a Gan'gaadhara T'al'aka 2 3,198560_OU_Baal'a_Gan'gaadhara_T'al'aka_2_3.pdf,36.56Mb,Publications,Kannada
Jagannartha Ke Vi,2010-08-10T08:34:32Z,2010-08-10T08:34:32Z,1943//,http://oudl_osmania_ac_in/handle/OUDL/3118,Satyashuudhana Prakat'ana Man'dira,IN_COPYRIGHT,GENERALITIES;Manuscripts;Rare and remarkable works,Kalaavidana Tyaaga Itara Kathegal'u,198085_OU_Kalaavidana_Tyaaga_Itara_Kathegal'u.pdf,7.098Mb,Publications,Kannada
Shivaachaarya Channabasavaraaja Deishikein'dra,2010-08-10T08:34:33Z,2010-08-10T08:34:33Z,1950//,http://oudl_osmania_ac_in/handle/OUDL/3119,Prabodha Pustakamaale,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;Biographical and related studies;Biography,Kaarand-ika Kumaarayogi Pustakamaale 12,198224_OU_Kaara ... rayogi_Pustakamaale_12.pdf,14.56Mb,Publications,Kannada
Subbaajoyis Ech,2010-08-10T08:34:45Z,2010-08-10T08:34:45Z,1939//,http://oudl_osmania_ac_in/handle/OUDL/3150,Ech Subbaajoyis,IN_COPYRIGHT,GENERALITIES;Polygraphies;Collective works,Navaratnagal'u,198232_OU_Navaratnagal'u.pdf,6.305Mb,Publications,Kannada
Kaal'i Bi Pi,2010-08-10T08:34:33Z,2010-08-10T08:34:33Z,1949//,http://oudl_osmania_ac_in/handle/OUDL/3120,Bi Pi Kaal'i,IN_COPYRIGHT,SOCIAL SCIENCES;Education,Skuula Mist'ras Saamaajika Kathe,198067_OU_Skuula_Mist'ras_Saamaajika_Kathe.pdf,18.79Mb,Publications,Kannada
Bhat't'u Ji Vaamana,2010-08-10T08:55:45Z,2010-08-10T08:55:45Z,1935//,http://oudl_osmania_ac_in/handle/OUDL/3477,Sarasvatii Prin't'in'g Varksa,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Shakun'tal'e,198440_OU_Shakun'tal'e.pdf,7.369Mb,Publications,Kannada
Kaat'ot'a Shreinivaasa Narasin'ha,2010-08-10T08:34:34Z,2010-08-10T08:34:34Z,1953//,http://oudl_osmania_ac_in/handle/OUDL/3121,Bi Pi Kaal'i,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Shreivein'kat'eisha Maahatmya Gran'the 1,198253_OU_Shrei ... a_Maahatmya_Gran'the_1.pdf,13.02Mb,Publications,Kannada
Naageisha,2010-08-10T09:46:06Z,2010-08-10T09:46:06Z,1936//,http://oudl_osmania_ac_in/handle/OUDL/4032,Ya Gu Kulakarnd-i,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Kanakalate,198982_OU_Kanakalate.pdf,4.580Mb,Publications,Kannada
Mahaabalabhat't'a Ji Ar,2010-08-10T08:34:57Z,2010-08-10T08:34:57Z,1935//,http://oudl_osmania_ac_in/handle/OUDL/3175,Bhi Pa Kaal'i,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Maajiina Jiivana Maahara,198239_OU_Maajiina_Jiivana_Maahara.pdf,15.16Mb,Publications,Kannada
Phaat'i En' Ramaanan'da,2010-08-10T08:34:34Z,2010-08-10T08:34:34Z,1954//,http://oudl_osmania_ac_in/handle/OUDL/3122,Shaaradaa Prakat'anaalaya,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Siitaa Ratna Maali 29,198075_OU_Siitaa_Ratna_Maali_29.pdf,8.078Mb,Publications,Kannada
Sharma Bit'ageiri Krxshhnd-a,2010-08-10T08:55:47Z,2010-08-10T08:55:47Z,1942//,http://oudl_osmania_ac_in/handle/OUDL/3483,Karnaat'aka Shiqs-and-a Samiti,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Shreibasavand-nd-anavaru,198535_OU_Shreibasavand-nd-anavaru.pdf,4.293Mb,Publications,Kannada
Kariin'khaan En Ke,2010-08-10T08:34:34Z,2010-08-10T08:34:34Z,1945//,http://oudl_osmania_ac_in/handle/OUDL/3123,Raamaraajya Prakaashana,IN_COPYRIGHT,GENERALITIES;Prolegomena;Fundamentals of knowledge and culture Computer science,Niihaara,198189_OU_Niihaara.pdf,8.141Mb,Publications,Kannada
Muurtiraav E En,2010-08-10T08:34:46Z,2010-08-10T08:34:46Z,1942//,http://oudl_osmania_ac_in/handle/OUDL/3151,Kaavyaalaya,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Haval'ada Dviipa,198181_OU_Haval'ada_Dviipa.pdf,8.465Mb,Publications,Kannada
Raav San'padgiri,2010-08-10T08:34:35Z,2010-08-10T08:34:35Z,1947//,http://oudl_osmania_ac_in/handle/OUDL/3124,Satyashuudhana Prakat'ana Man'dira,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Raajaajayavara Kathegal'u,198149_OU_Raajaajayavara_Kathegal'u.pdf,9.123Mb,Publications,Kannada
Parashuraama,2010-08-10T08:55:45Z,2010-08-10T08:55:45Z,1935//,http://oudl_osmania_ac_in/handle/OUDL/3478,Ji Bi Jooshi,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Kurihin'd'u,198511_OU_Kurihin'd'u.pdf,9.689Mb,Publications,Kannada
Maad'aka Narasin'ha Paan'd'uran'ga,2010-08-10T08:34:36Z,2010-08-10T08:34:36Z,1939//,http://oudl_osmania_ac_in/handle/OUDL/3125,Aaraa Aaraa Kaamalaapuura,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Shaalaa Bhaaratavarshha Hin'dusthaanada Itihaasa Aavrxttiyuu 2,198070_OU_Shaal ... arshha_Hin'dusthaanada.pdf,58.55Mb,Publications,Kannada
Karnd-aat'aka San'gha,2010-08-10T08:34:37Z,2010-08-10T08:34:37Z,1944//,http://oudl_osmania_ac_in/handle/OUDL/3126,Karnd-aat'aka San'gha,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Tenegal'u,198209_OU_Tenegal'u.pdf,3.705Mb,Publications,Kannada
Ven'kuubaachaarya Pi,2010-08-10T08:55:45Z,2010-08-10T08:55:45Z,1950//,http://oudl_osmania_ac_in/handle/OUDL/3479,Pi Ven'kuubaachaarya,IN_COPYRIGHT,GENERALITIES;Bibliography and bibliographies Catalogues,Arpand-a,198432_OU_Arpand-a.pdf,10.06Mb,Publications,Kannada
Mod'aka Na Paan',2010-08-10T08:34:37Z,2010-08-10T08:34:37Z,1933//,http://oudl_osmania_ac_in/handle/OUDL/3127,Aaraa Aaraa Kaamalaapuura,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Hin'dusthaanada Praachiina Itihaasa,198089_OU_Hin'dusthaanada_Praachiina_Itihaasa.pdf,12.44Mb,Publications,Kannada
Krxshhnd-araaya A Na,2010-08-10T09:46:07Z,2010-08-10T09:46:07Z,1954//,http://oudl_osmania_ac_in/handle/OUDL/4033,Vaahini Prakaashana,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Rukmind-i,200053_OU_Rukmind_i.pdf,15.34Mb,Publications,Kannada
Raamachan'dra,2010-08-10T08:34:46Z,2010-08-10T08:34:46Z,1924//,http://oudl_osmania_ac_in/handle/OUDL/3152,Yallogud'd'o Kulakarnd-i,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;Biographical and related studies;Biography,Shreikrxshhnd-aa Vadhuutara Charitrapu,198222_OU_Shrei ... _Vadhuutara_Charitrapu.pdf,8.080Mb,Publications,Kannada
San'dersan D'aniyal,2010-08-10T08:34:38Z,2010-08-10T08:34:38Z,1921//,http://oudl_osmania_ac_in/handle/OUDL/3128,Vesaleyan Mishan Pres,OUT_OF_COPYRIGHT,GENERALITIES;Manuscripts;Rare and remarkable works,Kathaasan'graha Vol I,198160_OU_Kathaasan'graha_Vol_I.pdf,25.78Mb,Publications,Kannada
Anan'taran'gaachaarya En,2010-08-10T10:17:24Z,2010-08-10T10:17:24Z,1940/02/16,http://oudl_osmania_ac_in/handle/OUDL/4476,En Anan'taran'gaachaarya,IN_COPYRIGHT,GENERALITIES;Bibliography and bibliographies Catalogues,Karnd-aat'aka Mahaabhaarata Karnd-aparva Vol IX,200567_OU_Karnd ... ta_Karnd-aparva_Vol_IX.pdf,15.31Mb,Publications,Kannada
Gun'd'appa El,2010-08-10T08:34:38Z,2010-08-10T08:34:38Z,1935//,http://oudl_osmania_ac_in/handle/OUDL/3129,En En En Buk Dipuu,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Kannad'a Saahitya Chitragal'u,198081_OU_Kannad'a_Saahitya_Chitragal'u.pdf,9.200Mb,Publications,Kannada
Ran'ganaatha Negal'uura,2010-08-10T08:55:46Z,2010-08-10T08:55:46Z,1955//,http://oudl_osmania_ac_in/handle/OUDL/3480,Paraaga Prakaashana,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Kavi Vinaayaka,198600_OU_Kavi_Vinaayaka.pdf,8.338Mb,Publications,Kannada
Shreinivaasa,2010-08-10T08:35:04Z,2010-08-10T08:35:04Z,1948//,http://oudl_osmania_ac_in/handle/OUDL/3192,Parnd-akut'i Gran'thamaale,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Avaru Mattu Deivakka,198155_OU_Avaru_Mattu_Deivakka.pdf,7.325Mb,Publications,Kannada
Shaan'bhavaanan'da Svaami,2010-08-10T08:34:38Z,2010-08-10T08:34:38Z,1950//,http://oudl_osmania_ac_in/handle/OUDL/3130,Raamakrxshhnd-aashrama,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;Biographical and related studies;Biography,Svaami Viveikaanan'da,198249_OU_Svaami_Viveikaanan'da.pdf,2.380Mb,Publications,Kannada
Raamaraav En',2010-08-10T08:34:39Z,2010-08-10T08:34:39Z,1946//,http://oudl_osmania_ac_in/handle/OUDL/3131,Satyashuudhana Prakat'ana Man'dira,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Chakravartiya Kuugile,198147_OU_Chakravartiya_Kuugile.pdf,6.361Mb,Publications,Kannada
