Title,Author,Link,ReadOnline,BarCode,Year,FileFormat,Publisher,Source,DigitalPublisher,PublicationDate,ScanningCenter,Language,TotalPages,
Drxshhti Sangama,N.S.Lakshhminarayana Bhatta,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2030020028255,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0198/248&first=1&last=45&barcode=2030020028255,2030020028255,1936,Tagged Image File Format,Shivaraama Kaaran'ta,NONE,Digital Library Of India,0000-00-00,rmsc; iiith ,kannada ,45,
Drxshhtilaabha,Inaamadaara Vnd-i Em,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2030020027404,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0197/501&first=1&last=119&barcode=2030020027404,2030020027404,1932,Tagged Image File Format,Karnaat'aka Vaibhava Prakat'anaa Man'dira,Osmania University,Digital Library Of India,0000-00-00,rmsc; iiith ,kannada ,119,
Dunbi Grantha 13,Inaamadaara Vnd-i Em,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2030020029412,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0199/209&first=1&last=114&barcode=2030020029412,2030020029412,1951,Tagged Image File Format,Ba Shivamuurti Shaasatrii,NONE,Digital Library Of India,0000-00-00,rmsc; iiith ,kannada ,114,
Dunbiya Kanasu,Inaamadaara Vnd-i Em,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2030020028038,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0198/066&first=1&last=189&barcode=2030020028038,2030020028038,1949,Tagged Image File Format,Ech Es Doresvaami,NONE,Digital Library Of India,0000-00-00,rmsc; iiith ,kannada ,189,
Durgada Bichchugatti Bhaaga 1,Inaamadaara Vnd-i Em,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2030020028306,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0198/294&first=1&last=235&barcode=2030020028306,2030020028306,1938,Tagged Image File Format,Vai Ti Kulakarand-i,NONE,Digital Library Of India,0000-00-00,rmsc; iiith ,kannada ,235,
Durgeishanandini,Inaamadaara Vnd-i Em,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2030020028531,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0198/492&first=1&last=214&barcode=2030020028531,2030020028531,1930,Tagged Image File Format,Bi Ven'kat'akrxshhnd-appa,NONE,Digital Library Of India,0000-00-00,rmsc; iiith ,kannada ,214,
Dushhta Chatushhtaya 1,Inaamadaara Vnd-i Em,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2030020028106,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0198/122&first=1&last=71&barcode=2030020028106,2030020028106,1931,Tagged Image File Format,Baalasarasvati Gran'thamaalaa,NONE,Digital Library Of India,0000-00-00,rmsc; iiith ,kannada ,71,
Duura Hoodalu,Inaamadaara Vnd-i Em,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2030020028517,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0198/481&first=1&last=86&barcode=2030020028517,2030020028517,1940,Tagged Image File Format,En' Ke Jinachan'dra Gaud'aru,NONE,Digital Library Of India,0000-00-00,rmsc; iiith ,kannada ,86,
Duurada Nakshhatra,Inaamadaara Vnd-i Em,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2030020028294,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0198/282&first=1&last=175&barcode=2030020028294,2030020028294,1954,Tagged Image File Format,Saadhanaa Prakaashana,NONE,Digital Library Of India,0000-00-00,rmsc; iiith ,kannada ,175,
dvaadashaanu preiqs-aa,Not Available,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=5010010042881,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0199/604&first=1&last=22&barcode=5010010042881,5010010042881,1955,Tagged Image File Format,Not Available,SCL-BNG ,Digital Library Of India,0000-00-00,rmsc; iiith ,kannada ,22,
Dvaitha Pradipa,Not Available,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=5010010006860,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0199/453&first=1&last=123&barcode=5010010006860,5010010006860,1943,Tagged Image File Format,Sri Basaveswara Electric Press Mysore,NONE,Udl Ttd Tirupati,0000-00-00,rmsc; iiith ,kannada ,123,
Dviipa Rahasya,Not Available,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2030020028124,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0198/140&first=1&last=137&barcode=2030020028124,2030020028124,1950,Tagged Image File Format,Puurnd-imaa Saahitya Man'dira,NONE,Digital Library Of India,0000-00-00,rmsc; iiith ,kannada ,137,
Dwait Siddhant Vaijayantee-Sabha Sara Sangraha Volume-1,Satyadhyana Tirtha,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2040100046866,http://www.new.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data/upload/0046/871&first=1&last=895&barcode=2040100046866,2040100046866,1972,Tagged Image File Format,Satyadhyana Vidyapeetha;Bombay-19,Poorna Prajna Samshodhanamandiram,Udl Ttd Tirupati,0000-00-00,ttd; s.v digital library,kannada ,895,
Dwaitha Pradipa,D.Vasudevacharya,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2040100046867,http://www.new.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data/upload/0046/872&first=1&last=123&barcode=2040100046867,2040100046867,1943,Tagged Image File Format,Sri Basaveswara Electric Press Mysore,Poorna Prajna Samshodhanamandiram,Udl Ttd Tirupati,0000-00-00,ttd; s.v digital library,kannada ,123,
